,id,step_counter,step_activity,timestamp,deviceID
0,55811,0.0,2.0,2021-06-30 13:25:30,5651
1,55812,0.0,2.0,2021-06-30 13:26:00,5651
2,55813,0.0,2.0,2021-06-30 13:26:30,5651
3,55814,0.0,2.0,2021-06-30 13:27:00,5651
4,55815,0.0,2.0,2021-06-30 13:27:30,5651
5,55816,0.0,2.0,2021-06-30 13:28:00,5651
6,55817,0.0,2.0,2021-06-30 13:28:30,5651
7,55818,0.0,2.0,2021-06-30 13:29:00,5651
8,55819,0.0,2.0,2021-06-30 13:29:30,5651
9,55820,0.0,2.0,2021-06-30 13:30:00,5651
10,55821,0.0,2.0,2021-06-30 13:30:30,5651
11,55822,0.0,2.0,2021-06-30 13:31:00,5651
12,55823,0.0,2.0,2021-06-30 13:31:30,5651
13,55824,0.0,2.0,2021-06-30 13:32:00,5651
14,55825,0.0,2.0,2021-06-30 13:32:30,5651
15,55826,0.0,2.0,2021-06-30 13:33:00,5651
16,55827,0.0,2.0,2021-06-30 13:33:30,5651
17,55828,0.0,2.0,2021-06-30 13:34:00,5651
18,55829,0.0,2.0,2021-06-30 13:34:30,5651
19,55830,0.0,2.0,2021-06-30 13:35:00,5651
20,55831,0.0,2.0,2021-06-30 13:35:30,5651
21,55832,0.0,2.0,2021-06-30 13:36:00,5651
22,55833,0.0,2.0,2021-06-30 13:36:30,5651
23,55834,0.0,2.0,2021-06-30 13:37:00,5651
24,55835,0.0,2.0,2021-06-30 13:37:30,5651
25,55836,0.0,2.0,2021-06-30 13:38:00,5651
26,55837,0.0,2.0,2021-06-30 13:38:30,5651
27,55838,0.0,2.0,2021-06-30 13:39:00,5651
28,55839,0.0,2.0,2021-06-30 13:39:30,5651
29,55840,0.0,2.0,2021-06-30 13:40:00,5651
30,55841,0.0,2.0,2021-06-30 13:40:30,5651
31,55842,0.0,2.0,2021-06-30 13:41:00,5651
32,55843,0.0,2.0,2021-06-30 13:41:30,5651
33,55844,0.0,2.0,2021-06-30 13:42:00,5651
34,55845,0.0,2.0,2021-06-30 13:42:30,5651
35,55846,0.0,2.0,2021-06-30 13:43:00,5651
36,55847,0.0,2.0,2021-06-30 13:43:30,5651
37,55848,0.0,2.0,2021-06-30 13:44:00,5651
38,55849,0.0,2.0,2021-06-30 13:44:30,5651
39,55850,0.0,2.0,2021-06-30 14:05:30,5651
40,55901,0.0,2.0,2021-06-30 14:06:00,5651
41,55902,0.0,2.0,2021-06-30 14:06:30,5651
42,55903,0.0,2.0,2021-06-30 14:07:00,5651
43,55904,0.0,2.0,2021-06-30 14:07:30,5651
44,55905,0.0,2.0,2021-06-30 14:08:00,5651
45,55906,0.0,2.0,2021-06-30 14:08:30,5651
